,ISBN,bookAuthor,category,yearOfPublication,publisher,bookTitle,imageUrlS,imageUrlM,imageUrlL
236,743418174,Jennifer Weiner,popularization of science,2002,Washington Square Press,Good in Bed,http://images.amazon.com/images/P/0743418174.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743418174.01.LZZZZZZZ.jpg
237,671004565,Mary Higgins Clark,popularization of science,2000,Pocket,We'll Meet Again,http://images.amazon.com/images/P/0671004565.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004565.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004565.01.LZZZZZZZ.jpg
238,345370805,Whitney Otto,popularization of science,1992,Ballantine Books,How to Make an American Quilt,http://images.amazon.com/images/P/0345370805.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345370805.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345370805.01.LZZZZZZZ.jpg
239,375703055,Kaye Gibbons,popularization of science,1997,Vintage Books,Ellen Foster,http://images.amazon.com/images/P/0375703055.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375703055.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375703055.01.LZZZZZZZ.jpg
240,312243022,Michael Cunningham,popularization of science,2000,Picador,The Hours : A Novel,http://images.amazon.com/images/P/0312243022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312243022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312243022.01.LZZZZZZZ.jpg
241,375700757,CHARLES FRAZIER,popularization of science,1998,Vintage,Cold Mountain : A Novel,http://images.amazon.com/images/P/0375700757.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375700757.01.LZZZZZZZ.jpg
242,70212570,Fannie Flagg,novel,1989,McGraw-Hill,Fried Green Tomatoes at the Whistle Stop Cafe,http://images.amazon.com/images/P/0070212570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0070212570.01.LZZZZZZZ.jpg
243,316781266,Anita Shreve,novel,2002,Back Bay Books,The Last Time They Met : A Novel,http://images.amazon.com/images/P/0316781266.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316781266.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316781266.01.LZZZZZZZ.jpg
244,671032658,Stephen King,novel,1999,Pocket,The Green Mile,http://images.amazon.com/images/P/0671032658.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671032658.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671032658.01.LZZZZZZZ.jpg
245,375725784,Dave Eggers,novel,2001,Vintage Books USA,A Heartbreaking Work of Staggering Genius,http://images.amazon.com/images/P/0375725784.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.LZZZZZZZ.jpg
246,345339703,J.R.R. TOLKIEN,novel,1986,Del Rey,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",http://images.amazon.com/images/P/0345339703.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg
247,038039586X,Richard George Adams,novel,1975,Harpercollins,Watership Down,http://images.amazon.com/images/P/038039586X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038039586X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038039586X.01.LZZZZZZZ.jpg
248,671042262,Jeffery Deaver,novel,2002,Pocket,The Blue Nowhere : A Novel,http://images.amazon.com/images/P/0671042262.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671042262.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671042262.01.LZZZZZZZ.jpg
249,425157539,John Sandford,novel,1997,Berkley Publishing Group,Sudden Prey,http://images.amazon.com/images/P/0425157539.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425157539.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425157539.01.LZZZZZZZ.jpg
250,679731148,Peter Mayle,novel,1991,Vintage Books USA,A Year in Provence,http://images.amazon.com/images/P/0679731148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.LZZZZZZZ.jpg
251,316693324,James Patterson,novel,1998,Replica Books,When the Wind Blows,http://images.amazon.com/images/P/0316693324.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316693324.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316693324.01.LZZZZZZZ.jpg
252,743412273,Stephen King,novel,2001,Pocket,Pet Sematary,http://images.amazon.com/images/P/0743412273.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743412273.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743412273.01.LZZZZZZZ.jpg
253,440226430,Judy Blume,history,1999,Dell Publishing Company,Summer Sisters,http://images.amazon.com/images/P/0440226430.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440226430.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440226430.01.LZZZZZZZ.jpg
254,031231616X,Dodie Smith,history,2003,St. Martin's Griffin,I Capture the Castle,http://images.amazon.com/images/P/031231616X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/031231616X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/031231616X.01.LZZZZZZZ.jpg
255,089480829X,Arlene Eisenberg,history,1996,Workman Pub Co,What to Expect When You're Expecting (Revised Edition),http://images.amazon.com/images/P/089480829X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/089480829X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/089480829X.01.LZZZZZZZ.jpg
256,62502174,Paulo Coelho,history,1993,HarperSanFrancisco,The Alchemist: A Fable About Following Your Dream,http://images.amazon.com/images/P/0062502174.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062502174.01.LZZZZZZZ.jpg
257,688177751,Ann B. Ross,history,2000,Perennial,Miss Julia Speaks Her Mind : A Novel,http://images.amazon.com/images/P/0688177751.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0688177751.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0688177751.01.LZZZZZZZ.jpg
258,345438329,Adriana Trigiani,history,2001,Ballantine Books,Big Stone Gap: A Novel (Ballantine Reader's Circle),http://images.amazon.com/images/P/0345438329.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.LZZZZZZZ.jpg
259,375707972,Bernhard Schlink,history,1999,Vintage Books USA,The Reader,http://images.amazon.com/images/P/0375707972.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375707972.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375707972.01.LZZZZZZZ.jpg
260,446310492,Harper Lee,history,1985,Warner Books,To Kill a Mockingbird,http://images.amazon.com/images/P/0446310492.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310492.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310492.01.LZZZZZZZ.jpg
261,399145087,Patricia Daniels Cornwell,history,1999,Putnam Pub Group,Black Notice,http://images.amazon.com/images/P/0399145087.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399145087.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399145087.01.LZZZZZZZ.jpg
262,312990456,Janet Evanovich,history,2003,St. Martin's Paperbacks,One for the Money (A Stephanie Plum Novel),http://images.amazon.com/images/P/0312990456.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.LZZZZZZZ.jpg
263,316969680,James Patterson,history,2002,"Little, Brown",The Beach House,http://images.amazon.com/images/P/0316969680.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316969680.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316969680.01.LZZZZZZZ.jpg
264,440418569,PHILIP PULLMAN,history,2003,Yearling,"The Amber Spyglass (His Dark Materials, Book 3)",http://images.amazon.com/images/P/0440418569.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440418569.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440418569.01.LZZZZZZZ.jpg
265,399501487,William Gerald Golding,history,1959,Perigee Trade,Lord of the Flies,http://images.amazon.com/images/P/0399501487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399501487.01.LZZZZZZZ.jpg
266,440224764,John Grisham,history,1998,Dell Publishing Company,The Partner,http://images.amazon.com/images/P/0440224764.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224764.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224764.01.LZZZZZZZ.jpg
267,553572997,Caleb Carr,history,1995,Bantam Books,The Alienist,http://images.amazon.com/images/P/0553572997.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553572997.01.LZZZZZZZ.jpg
268,380727501,Bill Bryson,history,1997,Perennial,Notes from a Small Island,http://images.amazon.com/images/P/0380727501.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380727501.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380727501.01.LZZZZZZZ.jpg
269,440208912,BELVA PLAIN,history,1991,Dell,Harvest,http://images.amazon.com/images/P/0440208912.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440208912.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440208912.01.LZZZZZZZ.jpg
270,373218192,Nora Roberts,history,2003,Silhouette,Engaging The Enemy,http://images.amazon.com/images/P/0373218192.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373218192.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373218192.01.LZZZZZZZ.jpg
271,385494785,JON KRAKAUER,history,1999,Anchor,Into Thin Air : A Personal Account of the Mt. Everest Disaster,http://images.amazon.com/images/P/0385494785.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385494785.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385494785.01.LZZZZZZZ.jpg
272,385486804,Jon Krakauer,history,1997,Anchor,Into the Wild,http://images.amazon.com/images/P/0385486804.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385486804.01.LZZZZZZZ.jpg
273,440236673,John Grisham,history,2000,Island,The Brethren,http://images.amazon.com/images/P/0440236673.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236673.01.LZZZZZZZ.jpg
274,440235162,Nicholas Evans,history,2002,Dell Publishing Company,The Smoke Jumper,http://images.amazon.com/images/P/0440235162.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440235162.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440235162.01.LZZZZZZZ.jpg
275,425158616,Patricia Daniels Cornwell,history,1997,Berkley Publishing Group,Cause of Death,http://images.amazon.com/images/P/0425158616.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425158616.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425158616.01.LZZZZZZZ.jpg
276,62502182,Paulo Coelho,history,1995,HarperSanFrancisco,The Alchemist: A Fable About Following Your Dream,http://images.amazon.com/images/P/0062502182.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062502182.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062502182.01.LZZZZZZZ.jpg
277,60175400,Barbara Kingsolver,history,1999,HarperCollins,The Poisonwood Bible,http://images.amazon.com/images/P/0060175400.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060175400.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060175400.01.LZZZZZZZ.jpg
278,671537458,Terry McMillan,history,1995,Pocket,Waiting to Exhale,http://images.amazon.com/images/P/0671537458.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671537458.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671537458.01.LZZZZZZZ.jpg
279,425161242,Robin Cook,history,2000,Berkley Publishing Group,Chromosome 6,http://images.amazon.com/images/P/0425161242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425161242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425161242.01.LZZZZZZZ.jpg
280,425169863,Patricia Daniels Cornwell,history,1999,Berkley Publishing Group,Point of Origin,http://images.amazon.com/images/P/0425169863.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425169863.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425169863.01.LZZZZZZZ.jpg
281,345380371,MICHAEL CRICHTON,history,1992,Ballantine Books,Rising Sun,http://images.amazon.com/images/P/0345380371.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345380371.01.LZZZZZZZ.jpg
282,316690619,James Patterson,history,2000,Little Brown and Company,Cradle and All,http://images.amazon.com/images/P/0316690619.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316690619.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316690619.01.LZZZZZZZ.jpg
283,446610038,James Patterson,history,2002,Warner Vision,1st to Die: A Novel,http://images.amazon.com/images/P/0446610038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
284,679459626,Jonathan Kellerman,history,2001,Random House,Flesh and Blood,http://images.amazon.com/images/P/0679459626.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679459626.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679459626.01.LZZZZZZZ.jpg
285,385492081,JON KRAKAUER,economics,1998,Anchor,Into Thin Air : A Personal Account of the Mt. Everest Disaster,http://images.amazon.com/images/P/0385492081.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385492081.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385492081.01.LZZZZZZZ.jpg
286,067976402X,David Guterson,economics,1995,Vintage Books USA,Snow Falling on Cedars,http://images.amazon.com/images/P/067976402X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067976402X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067976402X.01.LZZZZZZZ.jpg
287,743457358,Stephen King,economics,2002,Pocket,Everything's Eventual : 14 Dark Tales,http://images.amazon.com/images/P/0743457358.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743457358.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743457358.01.LZZZZZZZ.jpg
288,765342294,Orson Scott Card,economics,2002,Starscape Books,Ender's Game (Ender Wiggins Saga (Paperback)),http://images.amazon.com/images/P/0765342294.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0765342294.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0765342294.01.LZZZZZZZ.jpg
289,425167313,Alice Hoffman,economics,1998,Berkley Publishing Group,Here on Earth,http://images.amazon.com/images/P/0425167313.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425167313.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425167313.01.LZZZZZZZ.jpg
290,034540288X,Michael Crichton,economics,1996,Ballantine Books,The Lost World,http://images.amazon.com/images/P/034540288X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034540288X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034540288X.01.LZZZZZZZ.jpg
291,446519960,David Baldacci,economics,1996,Warner Books,Absolute Power,http://images.amazon.com/images/P/0446519960.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446519960.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446519960.01.LZZZZZZZ.jpg
292,316182540,Janet Fitch,economics,2001,"Little, Brown",White Oleander : A Novel,http://images.amazon.com/images/P/0316182540.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316182540.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316182540.01.LZZZZZZZ.jpg
293,553282476,MARGARET ATWOOD,economics,1989,Bantam,CAT'S EYE,http://images.amazon.com/images/P/0553282476.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553282476.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553282476.01.LZZZZZZZ.jpg
294,449212602,Margaret Atwood,economics,1989,Fawcett Books,The Handmaid's Tale,http://images.amazon.com/images/P/0449212602.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449212602.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449212602.01.LZZZZZZZ.jpg
295,345413903,Jonathan Kellerman,economics,2003,Ballantine Books,The Murder Book,http://images.amazon.com/images/P/0345413903.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345413903.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413903.01.LZZZZZZZ.jpg
296,553582143,IRIS JOHANSEN,economics,2003,Bantam,Body of Lies,http://images.amazon.com/images/P/0553582143.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582143.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582143.01.LZZZZZZZ.jpg
297,316569321,Janet Fitch,economics,1999,"Little, Brown",White Oleander : A Novel,http://images.amazon.com/images/P/0316569321.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316569321.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316569321.01.LZZZZZZZ.jpg
298,425115801,Dean R. Koontz,economics,1996,Berkley Publishing Group,Lightning,http://images.amazon.com/images/P/0425115801.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425115801.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425115801.01.LZZZZZZZ.jpg
299,671024248,Stephen King,economics,2000,Pocket,Hearts In Atlantis,http://images.amazon.com/images/P/0671024248.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671024248.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671024248.01.LZZZZZZZ.jpg
300,553582933,Dean R. Koontz,economics,2001,Bantam Books,Winter Moon,http://images.amazon.com/images/P/0553582933.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582933.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582933.01.LZZZZZZZ.jpg
301,671034022,Julie Garwood,economics,2002,Pocket,Mercy,http://images.amazon.com/images/P/0671034022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671034022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671034022.01.LZZZZZZZ.jpg
302,446607711,David Baldacci,economics,1999,Warner Books,The Simple Truth,http://images.amazon.com/images/P/0446607711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446607711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446607711.01.LZZZZZZZ.jpg
303,812505166,Emily Bronte,economics,1989,Tor Classics,Wuthering Heights,http://images.amazon.com/images/P/0812505166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812505166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812505166.01.LZZZZZZZ.jpg
304,446525804,David Baldacci,economics,2001,Warner Books,Last Man Standing,http://images.amazon.com/images/P/0446525804.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446525804.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446525804.01.LZZZZZZZ.jpg
305,451524934,George Orwell,cartoon,1990,Signet Book,1984,http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
306,345350499,MARION ZIMMER BRADLEY,cartoon,1987,Del Rey,The Mists of Avalon,http://images.amazon.com/images/P/0345350499.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345350499.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345350499.01.LZZZZZZZ.jpg
307,312976275,Janet Evanovich,romance,2001,St. Martin's Paperbacks,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),http://images.amazon.com/images/P/0312976275.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312976275.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312976275.01.LZZZZZZZ.jpg
308,767905180,Jane Green,romance,2001,Broadway Books,Jemima J: A Novel About Ugly Ducklings and Swans,http://images.amazon.com/images/P/0767905180.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767905180.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767905180.01.LZZZZZZZ.jpg
309,743482891,Linda Howard,romance,2003,Pocket Books,Now You See Her,http://images.amazon.com/images/P/0743482891.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743482891.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743482891.01.LZZZZZZZ.jpg
310,059035342X,J. K. Rowling,romance,1999,Arthur A. Levine Books,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
311,316089699,Anita Shreve,romance,2003,Back Bay Books,Sea Glass: A Novel,http://images.amazon.com/images/P/0316089699.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316089699.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316089699.01.LZZZZZZZ.jpg
312,671708635,Stephen R. Covey,popularization of science,1990,Free Press,Seven Habits Of Highly Effective People,http://images.amazon.com/images/P/0671708635.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671708635.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671708635.01.LZZZZZZZ.jpg
313,345342968,RAY BRADBURY,popularization of science,1987,Del Rey,Fahrenheit 451,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg
314,812550706,Orson Scott Card,popularization of science,1994,Tor Books,Ender's Game (Ender Wiggins Saga (Paperback)),http://images.amazon.com/images/P/0812550706.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812550706.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812550706.01.LZZZZZZZ.jpg
315,345378482,MICHAEL CRICHTON,popularization of science,1992,Ballantine Books,The Andromeda Strain,http://images.amazon.com/images/P/0345378482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345378482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345378482.01.LZZZZZZZ.jpg
316,671758896,Mary Higgins Clark,popularization of science,1992,Pocket,"Loves Music, Loves to Dance",http://images.amazon.com/images/P/0671758896.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671758896.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671758896.01.LZZZZZZZ.jpg
317,451177096,Stephen King,popularization of science,2004,Signet Book,Dolores Claiborne,http://images.amazon.com/images/P/0451177096.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451177096.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451177096.01.LZZZZZZZ.jpg
318,99244926,John Grisham,popularization of science,1999,Random House Uk Ltd,The Street Lawyer,http://images.amazon.com/images/P/0099244926.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0099244926.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0099244926.01.LZZZZZZZ.jpg
319,425122123,Tom Clancy,popularization of science,1996,Berkley Publishing Group,Clear and Present Danger (Jack Ryan Novels),http://images.amazon.com/images/P/0425122123.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425122123.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425122123.01.LZZZZZZZ.jpg
320,385484518,MITCH ALBOM,popularization of science,1997,Doubleday,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",http://images.amazon.com/images/P/0385484518.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385484518.01.LZZZZZZZ.jpg
321,60922532,Barbara Kingsolver,popularization of science,1994,Perennial,Pigs in Heaven,http://images.amazon.com/images/P/0060922532.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060922532.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060922532.01.LZZZZZZZ.jpg
322,440236703,Harlan Coben,popularization of science,2002,Dell Publishing Company,Tell No One,http://images.amazon.com/images/P/0440236703.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236703.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236703.01.LZZZZZZZ.jpg
323,316779490,David Sedaris,popularization of science,1997,Little Brown &amp; Co,Naked,http://images.amazon.com/images/P/0316779490.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316779490.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316779490.01.LZZZZZZZ.jpg
324,425133540,Tom Clancy,popularization of science,1996,Berkley Publishing Group,The Sum of All Fears (Jack Ryan Novels),http://images.amazon.com/images/P/0425133540.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425133540.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425133540.01.LZZZZZZZ.jpg
325,671822209,John Irving,popularization of science,1979,Pocket,WLD ACCORDNG GARP,http://images.amazon.com/images/P/0671822209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671822209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671822209.01.LZZZZZZZ.jpg
326,446527289,Brad Meltzer,popularization of science,2001,Warner Books,The First Counsel,http://images.amazon.com/images/P/0446527289.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446527289.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446527289.01.LZZZZZZZ.jpg
327,345384350,Dean R. Koontz,popularization of science,1995,Ballantine Books,Icebound,http://images.amazon.com/images/P/0345384350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345384350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345384350.01.LZZZZZZZ.jpg
328,425175405,Patricia Daniels Cornwell,popularization of science,2000,Berkley Publishing Group,Black Notice,http://images.amazon.com/images/P/0425175405.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425175405.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425175405.01.LZZZZZZZ.jpg
329,380731851,Dennis Lehane,popularization of science,2002,HarperTorch,Mystic River,http://images.amazon.com/images/P/0380731851.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380731851.01.LZZZZZZZ.jpg
330,345452534,JONATHAN KELLERMAN,popularization of science,2002,Ballantine Books,The Murder Book,http://images.amazon.com/images/P/0345452534.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345452534.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345452534.01.LZZZZZZZ.jpg
331,316602051,James Patterson,popularization of science,2003,"Little, Brown",The Jester,http://images.amazon.com/images/P/0316602051.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316602051.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316602051.01.LZZZZZZZ.jpg
